DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.001	0	0	1	0
0.0430000000000001	0.0035	0.104	1	1	0.00223600000000001
0.144	0.025	0.283	1	1	0.0217795
0.193	0.038	0.367	1	1	0.0377045
0.244	0.0525	0.453	1	1	0.0586145
0.293	0.0665	0.5345	1	1	0.0828082499999999
0.343	0.0805	0.618	1	1	0.11162075
0.393	0.0955	0.6965	1	1	0.14448325
0.442	0.111	0.7795	1	1	0.18064525
0.493	0.127	0.854	1	1	0.2222995
0.542	0.1455	0.9255	1	1	0.26589725
0.593	0.166	0.985	1	1	0.314615
0.643	0.191	1.0235	1	1	0.3648275
0.694	0.2205	1.0235	1	1	0.417026
0.744	0.2555	1.0235	1	1	0.468201
0.793	0.299	1.0235	1	1	0.5183525
0.844	0.3615	1.0065	1	1	0.5701175
0.893	0.439	0.8955	1	1	0.6167165
0.943	0.535	0.7485	1	1	0.6578165
0.993	0.637	0.598	1	1	0.691479
1.043	0.734	0.4685	1	1	0.7181415
1.093	0.827	0.355	1	1	0.738729
1.143	0.908	0.271	1	1	0.754379
1.193	0.969	0.12	1	1	0.764154
1.243	0.986	0	1	1	0.767154
1.294	0.966	-0.041	1	1	0.7661085
1.343	0.93	-0.059	1	1	0.7636585
1.394	0.8895	-0.069	1	1	0.7603945
1.444	0.8485	-0.0805	1	1	0.756657
1.493	0.8075	-0.088	1	1	0.75252875
1.543	0.7665	-0.099	1	1	0.74785375
1.593	0.7255	-0.11	1	1	0.74262875
1.643	0.6845	-0.123	1	1	0.73680375
1.693	0.6445	-0.135	1	1	0.73035375
1.744	0.604	-0.152	1	1	0.72303525
1.794	0.565	-0.1655	1	1	0.71509775
1.843	0.5265	-0.183	1	1	0.7065595
1.894	0.4885	-0.204	1	1	0.696691
1.944	0.4505	-0.224	1	1	0.685991
1.993	0.4135	-0.2465	1	1	0.67446375
2.043	0.3775	-0.27	1	1	0.66155125
2.093	0.3415	-0.299	1	1	0.64732625
2.143	0.307	-0.329	1	1	0.63162625
2.193	0.275	-0.3675	1	1	0.61421375
2.243	0.2445	-0.403	1	1	0.59495125
2.293	0.214	-0.451	1	1	0.57360125
2.343	0.1875	-0.4995	1	1	0.54983875
2.393	0.1635	-0.562	1	1	0.52330125
2.443	0.143	-0.6305	1	1	0.49348875
2.494	0.1245	-0.706	1	1	0.459408
2.544	0.107	-0.781	1	1	0.422233
2.593	0.0905	-0.8595	1	1	0.38204075
2.643	0.0745	-0.9405	1	1	0.33704075
2.693	0.059	-1.021	1	1	0.28800325
2.743	0.0445	-1.0235	1	1	0.236890750000001
2.793	0.0305	-1.0235	1	1	0.18571575
2.843	0.017	-1.0235	1	1	0.13454075
2.893	0.004	-1.0235	1	1	0.0833657500000002
2.943	-0.008	-1.0235	1	1	0.0321907500000004
2.992	-0.0205	-1.0235	1	1	-0.01796075
3.043	-0.0345	-1.0235	1	1	-0.0701592500000002
3.094	-0.0505	-1.0235	1	1	-0.12235775
3.143	-0.067	-1.0235	1	1	-0.17250925
3.192	-0.085	-1.0235	1	1	-0.22266075
3.243	-0.1045	-1.0235	1	1	-0.27485925
3.292	-0.1255	-1.0235	1	1	-0.32501075
3.343	-0.1495	-1.0235	1	1	-0.37720925
3.392	-0.1765	-1.0235	1	1	-0.42736075
3.443	-0.212	-1.0235	1	1	-0.47955925
3.493	-0.26	-1.0235	1	1	-0.53073425
3.543	-0.331	-1.0235	1	1	-0.58190925
3.593	-0.438	-1.0235	1	1	-0.63308425
3.642	-0.5565	-0.867	1	1	-0.6794015
3.692	-0.6635	-0.5045	1	1	-0.713689
3.742	-0.734	-0.2395	1	1	-0.732289
3.793	-0.767	-0.0705	1	1	-0.740194
3.844	-0.769	0.022	1	1	-0.74143075
3.893	-0.745	0.056	1	1	-0.73951975
3.943	-0.7105	0.078	1	1	-0.73616975
3.993	-0.6725	0.094	1	1	-0.73186975
4.044	-0.634	0.1095	1	1	-0.7266805
4.094	-0.594	0.125	1	1	-0.720818
4.143	-0.5565	0.142	1	1	-0.7142765
4.193	-0.519	0.1575	1	1	-0.706789
4.243	-0.4815	0.1805	1	1	-0.698339
4.293	-0.4445	0.2	1	1	-0.6888265
4.342	-0.408	0.2265	1	1	-0.67837725
4.393	-0.3725	0.2505	1	1	-0.66621375
4.443	-0.337	0.2825	1	1	-0.65288875
4.493	-0.3035	0.3145	1	1	-0.63796375
4.543	-0.273	0.3545	1	1	-0.62123875
4.593	-0.242	0.3925	1	1	-0.60256375
4.643	-0.2125	0.4415	1	1	-0.58171375
4.693	-0.1865	0.4905	1	1	-0.55841375
4.743	-0.163	0.5545	1	1	-0.53228875
4.793	-0.143	0.622	1	1	-0.50287625
4.843	-0.1245	0.6985	1	1	-0.46986375
4.894	-0.107	0.7765	1	1	-0.43225125
4.943	-0.091	0.8535	1	1	-0.39231625
4.993	-0.075	0.9345	1	1	-0.347616250000001
5.043	-0.06	1.0165	1	1	-0.29884125
5.093	-0.0455	1.0235	1	1	-0.24784125
5.144	-0.0315	1.0235	1	1	-0.19564275
5.193	-0.018	1.0235	1	1	-0.14549125
5.244	-0.005	1.024	1	1	-0.0932800000000003
5.293	0.007	1.0235	1	1	-0.0431162499999999
5.343	0.02	1.0235	1	1	0.0080587499999999
5.393	0.0335	1.0235	1	1	0.0592337499999997
5.443	0.0485	1.024	1	1	0.11042125
5.493	0.066	1.0235	1	1	0.161608749999999
5.543	0.0835	1.0235	1	1	0.21278375
5.592	0.103	1.024	1	1	0.2629475
5.643	0.124	1.024	1	1	0.3151715
5.693	0.1475	1.0235	1	1	0.366359
5.744	0.1755	1.0235	1	1	0.4185575
5.793	0.211	1.0235	1	1	0.468709
5.844	0.259	1.0235	1	1	0.5209075
5.893	0.332	1.0235	1	1	0.571059
5.943	0.4415	1.0235	1	1	0.622234
5.993	0.5645	0.8375	1	1	0.668758999999999
6.043	0.6675	0.482	1	1	0.7017465
6.093	0.7365	0.226	1	1	0.7194465
6.144	0.7675	0.0575	1	1	0.72667575
6.193	0.767	-0.025	1	1	0.727472
6.243	0.741	-0.06	1	1	0.725347
6.293	0.706	-0.0805	1	1	0.7218345
6.344	0.667	-0.098	1	1	0.71728275
6.393	0.6285	-0.1115	1	1	0.71215
6.443	0.5905	-0.129	1	1	0.7061375
6.494	0.5505	-0.144	1	1	0.699176
6.543	0.5125	-0.164	1	1	0.69163
6.594	0.475	-0.185	1	1	0.6827305
6.644	0.4375	-0.2075	1	1	0.672918
6.693	0.401	-0.2315	1	1	0.6621625
6.743	0.366	-0.261	1	1	0.64985
6.793	0.331	-0.289	1	1	0.6361
6.843	0.2985	-0.327	1	1	0.6207
6.894	0.266	-0.363	1	1	0.603105
6.943	0.236	-0.4035	1	1	0.58432575
6.993	0.2075	-0.451	1	1	0.56296325
7.044	0.1815	-0.504	1	1	0.53861075
7.093	0.1595	-0.566	1	1	0.51239575
7.143	0.139	-0.6385	1	1	0.48228325
7.193	0.1205	-0.714	1	1	0.448470749999999
7.243	0.1035	-0.79	1	1	0.41087075
7.293	0.087	-0.869	1	1	0.36939575
7.343	0.072	-0.948	1	1	0.323970750000001
7.393	0.0565	-1.0235	1	1	0.27468325
7.443	0.042	-1.0235	1	1	0.223508249999999
7.494	0.028	-1.0235	1	1	0.171309749999999
7.543	0.0155	-1.0235	1	1	0.12115825
7.593	0.0025	-1.0235	1	1	0.0699832500000006
7.643	-0.01	-1.0235	1	1	0.0188082499999999
