DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.001	0	0	1	0
0.0779999999999998	0.0015	0.067	1	1	0.002613
0.128	0.004	0.1005	1	1	0.0068005
0.177	0.007	0.1305	1	1	0.01246
0.228	0.011	0.1605	1	1	0.0198805
0.278	0.015	0.19	1	1	0.028643
0.328	0.0195	0.2165	1	1	0.0388055
0.379	0.0245	0.2435	1	1	0.0505355
0.428	0.03	0.268	1	1	0.06306725
0.478	0.0355	0.291	1	1	0.07704225
0.529	0.042	0.3135	1	1	0.092457
0.578	0.0485	0.3345	1	1	0.108333
0.628	0.056	0.3545	1	1	0.125558
0.678	0.0635	0.375	1	1	0.1437955
0.728	0.0705	0.397	1	1	0.1630955
0.778	0.076	0.4235	1	1	0.183608
0.828	0.081	0.4505	1	1	0.205458
0.878	0.086	0.478	1	1	0.2286705
0.929	0.0915	0.502	1	1	0.2536605
0.978	0.0965	0.5275	1	1	0.27888325
1.027	0.1025	0.5515	1	1	0.30531875
1.078	0.1085	0.576	1	1	0.33407
1.128	0.115	0.5965	1	1	0.3633825
1.177	0.122	0.5795	1	1	0.3921945
1.228	0.128	0.5225	1	1	0.4202955
1.278	0.134	0.469	1	1	0.445083
1.328	0.139	0.413	1	1	0.467133
1.378	0.144	0.362	1	1	0.486508
1.428	0.148	0.3115	1	1	0.5033455
1.478	0.152	0.261	1	1	0.517658
1.528	0.155	0.2125	1	1	0.5294955
1.579	0.1575	0.168	1	1	0.53919825
1.629	0.1595	0.122	1	1	0.54644825
1.678	0.1605	0.08	1	1	0.55139725
1.728	0.1615	0.038	1	1	0.55434725
1.778	0.1615	0.0005	1	1	0.55530975
1.828	0.1595	-0.0275	1	1	0.55463475
1.878	0.154	-0.0515	1	1	0.55265975
1.928	0.1475	-0.0745	1	1	0.54950975
1.978	0.1405	-0.093	1	1	0.54532225
2.029	0.1325	-0.113	1	1	0.54006925
2.078	0.1245	-0.13	1	1	0.53411575
2.129	0.116	-0.149	1	1	0.52700125
2.178	0.1085	-0.165	1	1	0.51930825
2.229	0.0995	-0.184	1	1	0.51040875
2.278	0.0915	-0.2005	1	1	0.5009885
2.328	0.0835	-0.219	1	1	0.490501
2.377	0.076	-0.2365	1	1	0.47934125
2.428	0.068	-0.2555	1	1	0.46679525
2.478	0.0605	-0.2755	1	1	0.45352025
2.528	0.053	-0.2965	1	1	0.43922025
2.579	0.0455	-0.316	1	1	0.4236015
2.628	0.0385	-0.338	1	1	0.4075785
2.679	0.0315	-0.358	1	1	0.3898305
2.728	0.0245	-0.38	1	1	0.3717495
2.777	0.018	-0.4015	1	1	0.35260275
2.828	0.0115	-0.4245	1	1	0.33153975
2.878	0.005	-0.4465	1	1	0.30976475
2.928	-0.001	-0.4705	1	1	0.28683975
2.978	-0.007	-0.4925	1	1	0.26276475
3.028	-0.0135	-0.5165	1	1	0.23753975
3.077	-0.019	-0.5395	1	1	0.21166775
3.128	-0.025	-0.563	1	1	0.183554
3.178	-0.031	-0.587	1	1	0.154804
3.228	-0.037	-0.6105	1	1	0.1248665
3.278	-0.0435	-0.6335	1	1	0.0937665000000001
3.328	-0.0495	-0.6575	1	1	0.0614914999999996
3.378	-0.056	-0.679	1	1	0.0280789999999997
3.428	-0.063	-0.7015	1	1	-0.00643350000000014
3.478	-0.0695	-0.7215	1	1	-0.0420085
3.528	-0.0765	-0.694	1	1	-0.0773959999999999
3.579	-0.0835	-0.636	1	1	-0.111311
3.628	-0.0895	-0.581	1	1	-0.1411275
3.678	-0.0955	-0.5265	1	1	-0.168815
3.728	-0.101	-0.4715	1	1	-0.193765
3.779	-0.106	-0.4185	1	1	-0.21646
3.828	-0.1105	-0.3675	1	1	-0.235717
