DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.001	0	0	1	0
0.0920000000000001	0.029	0.136	1	1	0.00625600000000001
0.142	0.0515	0.195	1	1	0.0145310000000001
0.192	0.0755	0.253	1	1	0.025731
0.242	0.099	0.3165	1	1	0.0399685
0.291	0.117	0.3955	1	1	0.0574124999999999
0.342	0.1335	0.4785	1	1	0.0796995
0.391	0.1495	0.553	1	1	0.10497125
0.442	0.1675	0.6285	1	1	0.1350995
0.493	0.1875	0.697	1	1	0.16889975
0.542	0.2085	0.7595	1	1	0.204584
0.592	0.232	0.818	1	1	0.2440215
0.642	0.2575	0.87	1	1	0.2862215
0.692	0.285	0.916	1	1	0.3308715
0.741	0.314	0.9565	1	1	0.37674775
0.793	0.3485	0.9885	1	1	0.42731775
0.841	0.3825	1.01	1	1	0.47528175
0.892	0.422	1.0235	1	1	0.527136
0.941	0.463	1.0235	1	1	0.5772875
0.992	0.508	1.0235	1	1	0.629486
1.042	0.556	1.0215	1	1	0.680611
1.092	0.607	1.0055	1	1	0.731286
1.141	0.6595	0.9775	1	1	0.7798695
1.192	0.713	0.8315	1	1	0.825999
1.242	0.7495	0.6215	1	1	0.862324
1.292	0.7755	0.4475	1	1	0.889049
1.342	0.7905	0.293	1	1	0.9075615
1.393	0.795	0.173	1	1	0.9194445
1.442	0.7905	0.073	1	1	0.9254715
1.491	0.777	0	1	1	0.92726
1.542	0.753	-0.0495	1	1	0.92599775
1.592	0.723	-0.0805	1	1	0.92274775
1.642	0.688	-0.1105	1	1	0.91797275
1.692	0.652	-0.129	1	1	0.91198525
1.743	0.6145	-0.1555	1	1	0.9047305
1.792	0.577	-0.1745	1	1	0.8966455
1.842	0.54	-0.201	1	1	0.887258
1.892	0.5035	-0.2235	1	1	0.8766455
1.942	0.4675	-0.2545	1	1	0.8646955
1.992	0.4325	-0.2815	1	1	0.8512955
2.042	0.399	-0.318	1	1	0.836308
2.092	0.3655	-0.3505	1	1	0.8195955
2.142	0.333	-0.39	1	1	0.801083
2.191	0.302	-0.4255	1	1	0.78110325
2.241	0.271	-0.4675	1	1	0.75877825
2.292	0.24	-0.509	1	1	0.7338775
2.345	0.2085	-0.5505	1	1	0.70580075
2.392	0.1815	-0.5925	1	1	0.67894025
2.442	0.1525	-0.6405	1	1	0.64811525
2.491	0.125	-0.6895	1	1	0.61553025
2.542	0.098	-0.7455	1	1	0.57893775
2.592	0.073	-0.802	1	1	0.54025025
2.642	0.049	-0.8625	1	1	0.49863775
2.692	0.0245	-0.9175	1	1	0.45413775
2.743	0.0005	-0.9755	1	1	0.40586625
2.792	-0.0235	-1.0235	1	1	0.35689075
2.842	-0.048	-1.0235	1	1	0.30571575
2.892	-0.074	-1.0235	1	1	0.25454075
2.942	-0.102	-1.0235	1	1	0.20336575
2.992	-0.131	-1.0235	1	1	0.15219075
3.043	-0.162	-1.0235	1	1	0.09999225
3.092	-0.195	-1.0235	1	1	0.0498407499999996
3.142	-0.2305	-1.0235	1	1	-0.00133425000000022
3.192	-0.2675	-1.0235	1	1	-0.05250925
3.242	-0.307	-1.0235	1	1	-0.10368425
3.293	-0.35	-1.0235	1	1	-0.15588275
3.342	-0.3935	-1.0235	1	1	-0.20603425
3.392	-0.4405	-1.0235	1	1	-0.25720925
3.442	-0.4905	-1.0235	1	1	-0.30838425
3.492	-0.5435	-1.0235	1	1	-0.35955925
3.542	-0.5925	-1.0235	1	1	-0.41073425
3.592	-0.6265	-0.948	1	1	-0.46002175
3.642	-0.653	-0.7615	1	1	-0.50275925
3.692	-0.671	-0.6025	1	1	-0.53685925
3.743	-0.684	-0.4495	1	1	-0.56368525
3.792	-0.69	-0.324	1	1	-0.582636
3.842	-0.69	-0.207	1	1	-0.595911
3.892	-0.684	-0.111	1	1	-0.603861
3.942	-0.672	-0.026	1	1	-0.607286
3.991	-0.6535	0.0315	1	1	-0.60715125
4.041	-0.626	0.074	1	1	-0.60451375
4.092	-0.594	0.106	1	1	-0.59992375
4.141	-0.562	0.1385	1	1	-0.5939335
4.192	-0.5265	0.165	1	1	-0.58619425
4.242	-0.492	0.1965	1	1	-0.57715675
4.291	-0.458	0.2255	1	1	-0.56681775
4.342	-0.4235	0.2575	1	1	-0.55450125
4.393	-0.39	0.2895	1	1	-0.54055275
4.442	-0.3575	0.3295	1	1	-0.52538725
