DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.0899999999999999	0.016	0.071	1	1	0.00319499999999999
0.14	0.029	0.0995	1	1	0.00745749999999998
0.19	0.043	0.129	1	1	0.01317
0.24	0.058	0.156	1	1	0.0202950000000001
0.29	0.072	0.189	1	1	0.02892
0.34	0.083	0.229	1	1	0.03937
0.39	0.0925	0.272	1	1	0.051895
0.439	0.102	0.312	1	1	0.0662030000000001
0.49	0.1125	0.351	1	1	0.0831095000000001
0.54	0.124	0.3845	1	1	0.101497
0.591	0.137	0.418	1	1	0.12196075
0.64	0.1505	0.445	1	1	0.14310425
0.69	0.1655	0.4715	1	1	0.16601675
0.74	0.182	0.4925	1	1	0.19011675
0.79	0.199	0.512	1	1	0.21522925
0.84	0.2175	0.528	1	1	0.24122925
0.89	0.2365	0.546	1	1	0.26807925
0.939	0.255	0.5615	1	1	0.295213
0.99	0.2735	0.58	1	1	0.32432125
1.04	0.292	0.598	1	1	0.35377125
1.09	0.311	0.6135	1	1	0.38405875
1.14	0.331	0.627	1	1	0.41507125
1.19	0.349	0.5775	1	1	0.44518375
1.24	0.361	0.4845	1	1	0.47173375
1.29	0.369	0.4	1	1	0.49384625
1.34	0.374	0.322	1	1	0.51189625
1.39	0.3765	0.2525	1	1	0.52625875
1.439	0.376	0.19	1	1	0.5371
1.49	0.3735	0.13	1	1	0.54526
1.54	0.369	0.077	1	1	0.550435
1.59	0.363	0.031	1	1	0.553135
1.64	0.354	-0.01	1	1	0.55366
1.69	0.342	-0.0415	1	1	0.5523725
1.74	0.328	-0.0685	1	1	0.5496225
1.79	0.3125	-0.093	1	1	0.545585
1.84	0.2965	-0.114	1	1	0.54041
1.89	0.279	-0.1355	1	1	0.5341725
1.941	0.2605	-0.156	1	1	0.52673925
1.99	0.244	-0.174	1	1	0.51865425
2.04	0.226	-0.192	1	1	0.50950425
2.089	0.2085	-0.2125	1	1	0.499594
2.14	0.19	-0.2305	1	1	0.4882975
2.19	0.1725	-0.2515	1	1	0.4762475
2.24	0.155	-0.2705	1	1	0.4631975
2.29	0.1375	-0.292	1	1	0.449135
2.34	0.1205	-0.3105	1	1	0.4340725
2.391	0.1035	-0.333	1	1	0.41766325
2.441	0.0865	-0.356	1	1	0.40043825
2.49	0.071	-0.38	1	1	0.38240625
2.54	0.0545	-0.4035	1	1	0.36281875
2.59	0.039	-0.43	1	1	0.34198125
2.639	0.0245	-0.4585	1	1	0.320213
2.689	0.0095	-0.4875	1	1	0.296563
2.74	-0.004	-0.5155	1	1	0.2709865
2.79	-0.018	-0.546	1	1	0.244449
2.84	-0.032	-0.574	1	1	0.216449
2.89	-0.0465	-0.603	1	1	0.187024
2.94	-0.061	-0.629	1	1	0.156224
2.989	-0.0755	-0.6545	1	1	0.12477825
3.04	-0.0915	-0.679	1	1	0.0907740000000001
3.09	-0.1075	-0.703	1	1	0.0562240000000002
3.14	-0.124	-0.725	1	1	0.0205240000000003
3.19	-0.141	-0.747	1	1	-0.0162759999999995
3.24	-0.159	-0.7645	1	1	-0.0540635000000001
3.289	-0.1775	-0.782	1	1	-0.0919527499999997
3.34	-0.1965	-0.7945	1	1	-0.1321535
3.389	-0.217	-0.8075	1	1	-0.1714025
3.439	-0.238	-0.8145	1	1	-0.2119525
3.49	-0.26	-0.8225	1	1	-0.253696
3.54	-0.281	-0.7485	1	1	-0.292971
3.59	-0.296	-0.647	1	1	-0.3278585
3.64	-0.308	-0.55	1	1	-0.3577835
3.689	-0.3175	-0.4635	1	1	-0.38261425
3.74	-0.324	-0.38	1	1	-0.4041235
3.79	-0.3285	-0.306	1	1	-0.4212735
3.839	-0.3305	-0.235	1	1	-0.434528
3.89	-0.33	-0.173	1	1	-0.444932
3.939	-0.328	-0.115	1	1	-0.451988
3.989	-0.3235	-0.0615	1	1	-0.4564005
4.04	-0.3175	-0.012	1	1	-0.45827475
4.09	-0.3085	0.0245	1	1	-0.45796225
4.14	-0.2965	0.0565	1	1	-0.45593725
4.19	-0.2825	0.0825	1	1	-0.45246225
4.24	-0.267	0.1075	1	1	-0.44771225
4.29	-0.2505	0.127	1	1	-0.44184975
4.34	-0.234	0.15	1	1	-0.43492475
4.389	-0.217	0.1705	1	1	-0.4270725
4.44	-0.199	0.1915	1	1	-0.4178415
4.489	-0.182	0.2105	1	1	-0.4079925
4.539	-0.1645	0.2325	1	1	-0.3969175
4.589	-0.1475	0.2535	1	1	-0.3847675
4.64	-0.13	0.276	1	1	-0.37126525
4.689	-0.1135	0.295	1	1	-0.35727575
4.74	-0.097	0.3195	1	1	-0.341606
4.79	-0.081	0.3425	1	1	-0.325056
4.84	-0.065	0.3685	1	1	-0.307281
4.889	-0.05	0.3945	1	1	-0.2885875
4.94	-0.035	0.423	1	1	-0.26774125
4.989	-0.021	0.4535	1	1	-0.246266999999999
5.04	-0.007	0.4855	1	1	-0.2223225
5.09	0.006	0.515	1	1	-0.19731
5.14	0.0195	0.547	1	1	-0.170759999999999
5.189	0.033	0.5755	1	1	-0.14325875
5.239	0.0475	0.6035	1	1	-0.113783749999999
5.289	0.0625	0.6315	1	1	-0.08290875
5.34	0.0775	0.6575	1	1	-0.0500392499999999
5.389	0.093	0.681	1	1	-0.0172460000000002
5.44	0.11	0.704	1	1	0.0180714999999999
5.49	0.127	0.723	1	1	0.0537465000000004
5.539	0.145	0.739	1	1	0.0895655
5.589	0.164	0.756	1	1	0.126940500000001
5.639	0.184	0.768	1	1	0.1650405
5.689	0.2055	0.778	1	1	0.2036905
