DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0.0005	0	1	0
0.0490000000000004	0.002	0.0005	1	1	2.45000000000002E-05
0.0999999999999996	0.003	0.0285	1	1	0.00076399999999999
0.149	0.0065	0.035	1	1	0.00231975
0.199	0.01	0.0425	1	1	0.00425725
0.249	0.0135	0.049	1	1	0.00654474999999999
0.299	0.0175	0.056	1	1	0.00916975000000003
0.349	0.0215	0.062	1	1	0.01211975
0.399	0.0255	0.068	1	1	0.01536975
0.448	0.0295	0.0755	1	1	0.0188855
0.499	0.033	0.0845	1	1	0.0229655
0.55	0.0355	0.095	1	1	0.02754275
0.599	0.038	0.105	1	1	0.03244275
0.65	0.041	0.1145	1	1	0.03804
0.699	0.0435	0.124	1	1	0.04388325
0.749	0.0465	0.1335	1	1	0.05032075
0.799	0.0495	0.1425	1	1	0.0572207500000001
0.849	0.0525	0.1515	1	1	0.06457075
0.899	0.0555	0.1595	1	1	0.07234575
0.95	0.059	0.168	1	1	0.080697
0.999	0.062	0.1765	1	1	0.0891372499999999
1.049	0.0655	0.185	1	1	0.0981747500000001
1.099	0.069	0.1925	1	1	0.10761225
1.149	0.0725	0.2005	1	1	0.11743725
1.199	0.0755	0.1765	1	1	0.12686225
1.249	0.0785	0.153	1	1	0.13509975
1.299	0.081	0.128	1	1	0.14212475
1.349	0.0825	0.1065	1	1	0.14798725
1.399	0.0845	0.0865	1	1	0.15281225
1.449	0.0855	0.065	1	1	0.15659975
1.499	0.0865	0.0455	1	1	0.15936225
1.549	0.087	0.0295	1	1	0.16123725
1.599	0.087	0.0115	1	1	0.16226225
1.65	0.087	-0.0035	1	1	0.16246625
1.699	0.0855	-0.0155	1	1	0.16200075
1.749	0.083	-0.0255	1	1	0.16097575
1.799	0.08	-0.034	1	1	0.15948825
1.849	0.077	-0.041	1	1	0.15761325
1.899	0.073	-0.0485	1	1	0.15537575
1.949	0.0695	-0.054	1	1	0.15281325
1.999	0.0655	-0.061	1	1	0.14993825
2.049	0.0615	-0.067	1	1	0.14673825
2.099	0.057	-0.073	1	1	0.14323825
2.15	0.053	-0.078	1	1	0.13938775
2.199	0.0485	-0.084	1	1	0.13541875
2.249	0.044	-0.0885	1	1	0.13110625
2.3	0.0395	-0.094	1	1	0.1264525
2.35	0.0355	-0.098	1	1	0.1216525
2.399	0.031	-0.1035	1	1	0.11671575
2.449	0.0265	-0.1085	1	1	0.11141575
2.499	0.022	-0.1135	1	1	0.10586575
2.549	0.0175	-0.117	1	1	0.10010325
2.599	0.0135	-0.124	1	1	0.09407825
2.65	0.009	-0.129	1	1	0.0876267499999999
2.699	0.0045	-0.134	1	1	0.08118325
2.749	0	-0.139	1	1	0.07435825
2.799	-0.0035	-0.1445	1	1	0.0672707499999999
2.85	-0.008	-0.149	1	1	0.0597865000000001
2.898	-0.0125	-0.1555	1	1	0.0524785
2.949	-0.0165	-0.1595	1	1	0.044446
2.999	-0.021	-0.1655	1	1	0.036321
3.049	-0.0255	-0.17	1	1	0.0279334999999999
3.1	-0.0295	-0.1765	1	1	0.0190977500000001
3.149	-0.0335	-0.181	1	1	0.010339
3.199	-0.0375	-0.1895	1	1	0.00107650000000002
3.249	-0.0415	-0.195	1	1	-0.00853599999999995
3.3	-0.0455	-0.202	1	1	-0.0186595
3.349	-0.049	-0.208	1	1	-0.0287045000000001
3.399	-0.053	-0.216	1	1	-0.0393045
3.449	-0.057	-0.221	1	1	-0.0502295
3.499	-0.061	-0.2255	1	1	-0.0613919999999999
3.55	-0.064	-0.199	1	1	-0.07221675
3.599	-0.0675	-0.1755	1	1	-0.081392
3.649	-0.07	-0.151	1	1	-0.0895545
3.699	-0.0725	-0.1295	1	1	-0.096567
3.75	-0.074	-0.107	1	1	-0.10259775
3.799	-0.076	-0.088	1	1	-0.10737525
3.849	-0.077	-0.0665	1	1	-0.11123775
3.899	-0.078	-0.049	1	1	-0.11412525
3.95	-0.0785	-0.0295	1	1	-0.116127
3.999	-0.079	-0.0135	1	1	-0.1171805
4.048	-0.079	0.003	1	1	-0.11743775
4.099	-0.0775	0.0125	1	1	-0.1170425
4.15	-0.075	0.024	1	1	-0.11611175
4.199	-0.072	0.031	1	1	-0.11476425
4.249	-0.069	0.0405	1	1	-0.11297675
4.299	-0.0655	0.0465	1	1	-0.11080175
4.349	-0.062	0.055	1	1	-0.10826425
4.399	-0.0575	0.06	1	1	-0.10538925
4.45	-0.0535	0.0665	1	1	-0.1021635
4.5	-0.0495	0.0715	1	1	-0.0987135
4.549	-0.0455	0.079	1	1	-0.09502625
4.599	-0.0415	0.083	1	1	-0.09097625
4.649	-0.0375	0.09	1	1	-0.0866512500000001
4.699	-0.033	0.093	1	1	-0.08207625
4.749	-0.0285	0.1	1	1	-0.07725125
4.799	-0.0245	0.1035	1	1	-0.0721637500000001
4.848	-0.02	0.111	1	1	-0.0669084999999999
4.899	-0.0155	0.1145	1	1	-0.0611582500000001
4.95	-0.0115	0.121	1	1	-0.0551530000000001
4.999	-0.007	0.125	1	1	-0.0491259999999999
5.05	-0.0025	0.1325	1	1	-0.0425597499999999
5.099	0.001	0.136	1	1	-0.0359815
5.15	0.0055	0.143	1	1	-0.0288669999999999
5.199	0.0095	0.1465	1	1	-0.02177425
5.249	0.014	0.1535	1	1	-0.0142742499999999
5.298	0.018	0.157	1	1	-0.00666699999999999
5.349	0.0225	0.164	1	1	0.00151850000000004
5.399	0.027	0.168	1	1	0.00981849999999986
5.449	0.0315	0.1745	1	1	0.018381
5.499	0.0355	0.178	1	1	0.0271935000000001
5.55	0.0405	0.1845	1	1	0.0364372500000001
5.599	0.0445	0.188	1	1	0.0455635
5.65	0.049	0.194	1	1	0.0553045000000001
5.699	0.0535	0.198	1	1	0.0649085
5.749	0.058	0.2045	1	1	0.0749710000000001
5.799	0.063	0.2075	1	1	0.0852709999999999
5.849	0.067	0.2075	1	1	0.095646
5.899	0.071	0.1785	1	1	0.105296
5.949	0.0745	0.1545	1	1	0.113621
5.999	0.0775	0.1295	1	1	0.120721
6.05	0.0795	0.109	1	1	0.12680275
6.099	0.0815	0.086	1	1	0.13158025
