DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.0650000000000004	0.004	0.047	1	1	0.00152750000000001
0.117	0.01	0.0725	1	1	0.00463449999999999
0.167	0.0165	0.093	1	1	0.00877200000000001
0.216	0.0235	0.1155	1	1	0.01388025
0.266	0.0315	0.1335	1	1	0.02010525
0.316	0.039	0.155	1	1	0.02731775
0.365	0.0475	0.1715	1	1	0.035317
0.416	0.056	0.192	1	1	0.04458625
0.465	0.064	0.208	1	1	0.05438625
0.515	0.073	0.227	1	1	0.06526125
0.566	0.082	0.243	1	1	0.07724625
0.616	0.089	0.2705	1	1	0.09008375
0.666	0.0945	0.297	1	1	0.10427125
0.716	0.099	0.327	1	1	0.11987125
0.765	0.1035	0.352	1	1	0.13650675
0.815	0.109	0.3805	1	1	0.15481925
0.865	0.1145	0.4035	1	1	0.17441925
0.915	0.1205	0.43	1	1	0.19525675
0.965	0.127	0.4525	1	1	0.21731925
1.016	0.1335	0.477	1	1	0.2410215
1.065	0.141	0.496	1	1	0.26486
1.116	0.1485	0.518	1	1	0.290717
1.165	0.1565	0.519	1	1	0.3161235
1.216	0.1645	0.459	1	1	0.3410625
1.266	0.1715	0.399	1	1	0.3625125
1.315	0.177	0.3445	1	1	0.38072825
1.366	0.1825	0.288	1	1	0.396857
1.416	0.187	0.2385	1	1	0.4100195
1.466	0.1905	0.186	1	1	0.420632
1.516	0.1935	0.141	1	1	0.428807
1.565	0.195	0.095	1	1	0.434589
1.615	0.1965	0.052	1	1	0.438264
1.666	0.197	0.009	1	1	0.4398195
1.716	0.1955	-0.0205	1	1	0.439532
1.766	0.1905	-0.0475	1	1	0.437832
1.815	0.184	-0.067	1	1	0.43502675
1.866	0.1765	-0.0895	1	1	0.431036
1.916	0.169	-0.1065	1	1	0.426136
1.965	0.1605	-0.126	1	1	0.42043975
2.016	0.1515	-0.1425	1	1	0.413593
2.066	0.1425	-0.1615	1	1	0.405993
2.116	0.1335	-0.177	1	1	0.3975305
2.166	0.125	-0.196	1	1	0.3882055
2.216	0.116	-0.2105	1	1	0.378043
2.266	0.1075	-0.23	1	1	0.3670305
2.315	0.099	-0.246	1	1	0.3553685
2.365	0.0905	-0.265	1	1	0.3425935
2.415	0.082	-0.2815	1	1	0.328931
2.466	0.074	-0.303	1	1	0.31402625
2.515	0.0655	-0.32	1	1	0.29876275
2.565	0.0575	-0.341	1	1	0.28223775
2.615	0.0495	-0.3585	1	1	0.26475025
2.665	0.0415	-0.3805	1	1	0.24627525
2.716	0.0335	-0.398	1	1	0.2264235
2.766	0.0255	-0.42	1	1	0.2059735
2.816	0.018	-0.438	1	1	0.1845235
2.866	0.0105	-0.46	1	1	0.1620735
2.916	0.0025	-0.4775	1	1	0.138636
2.966	-0.0045	-0.5	1	1	0.1141985
3.016	-0.0125	-0.518	1	1	0.0887484999999996
3.065	-0.0195	-0.5385	1	1	0.0628642499999999
3.115	-0.0275	-0.558	1	1	0.03545175
3.166	-0.0355	-0.579	1	1	0.00645824999999992
3.216	-0.044	-0.595	1	1	-0.02289175
3.266	-0.053	-0.6135	1	1	-0.0531042500000004
3.316	-0.0625	-0.627	1	1	-0.0841167500000003
3.365	-0.0715	-0.6435	1	1	-0.115244
3.416	-0.081	-0.657	1	1	-0.14840675
3.467	-0.0915	-0.6725	1	1	-0.182309
3.516	-0.101	-0.659	1	1	-0.21493075
3.565	-0.1095	-0.598	1	1	-0.24572725
3.616	-0.118	-0.5335	1	1	-0.2745805
3.666	-0.1255	-0.4765	1	1	-0.2998305
3.716	-0.132	-0.4165	1	1	-0.3221555
3.766	-0.138	-0.3635	1	1	-0.3416555
3.816	-0.143	-0.307	1	1	-0.358418
3.865	-0.147	-0.2585	1	1	-0.37227275
3.915	-0.151	-0.207	1	1	-0.38391025
3.965	-0.154	-0.16	1	1	-0.39308525
4.016	-0.156	-0.112	1	1	-0.40002125
4.066	-0.1575	-0.0705	1	1	-0.40458375
4.115	-0.1585	-0.0275	1	1	-0.40698475
4.165	-0.158	0.008	1	1	-0.40747225
4.215	-0.155	0.038	1	1	-0.40632225
4.266	-0.1495	0.0605	1	1	-0.4038105
4.316	-0.143	0.0845	1	1	-0.4001855
4.366	-0.1355	0.1025	1	1	-0.3955105
