DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.0710000000000002	0.0025	0.1345	1	1	0.00477475000000001
0.121	0.006	0.217	1	1	0.01356225
0.171	0.01	0.3	1	1	0.0264872499999999
0.22	0.015	0.379	1	1	0.0431227500000001
0.271	0.0205	0.4595	1	1	0.0645044999999999
0.321	0.027	0.5345	1	1	0.0893545000000001
0.37	0.034	0.607	1	1	0.11732125
0.42	0.0425	0.679	1	1	0.14947125
0.471	0.052	0.749	1	1	0.18588525
0.52	0.062	0.813	1	1	0.22415425
0.571	0.073	0.877	1	1	0.26724925
0.62	0.085	0.9375	1	1	0.3117045
0.671	0.098	0.9975	1	1	0.361047
0.721	0.1125	1.0235	1	1	0.411572
0.771	0.128	1.0235	1	1	0.462747
0.821	0.146	1.0235	1	1	0.513922
0.871	0.1655	1.024	1	1	0.5651095
0.921	0.1885	1.0235	1	1	0.616297
0.971	0.214	1.0235	1	1	0.667472
1.021	0.243	1.0235	1	1	0.718647
1.071	0.275	1.0235	1	1	0.769822
1.121	0.3105	1.0235	1	1	0.820997
1.17	0.3525	1.0235	1	1	0.8711485
1.221	0.4035	0.9475	1	1	0.921409
1.271	0.452	0.7475	1	1	0.963784
1.321	0.4985	0.5125	1	1	0.995284
1.371	0.5405	0.316	1	1	1.0159965
1.42	0.569	0.165	1	1	1.027781
1.471	0.583	0.05	1	1	1.0332635
1.521	0.5825	-0.022	1	1	1.0339635
1.57	0.5655	-0.0555	1	1	1.03206475
1.62	0.542	-0.08	1	1	1.02867725
1.671	0.5135	-0.098	1	1	1.02413825
1.721	0.486	-0.1155	1	1	1.01880075
1.771	0.457	-0.131	1	1	1.01263825
1.82	0.4295	-0.149	1	1	1.00577825
1.871	0.4005	-0.1675	1	1	0.9977075
1.921	0.3725	-0.1905	1	1	0.9887575
1.97	0.3465	-0.211	1	1	0.97892075
2.021	0.3205	-0.24	1	1	0.96742025
2.07	0.2955	-0.267	1	1	0.95499875
2.12	0.271	-0.296	1	1	0.94092375
2.17	0.2475	-0.3305	1	1	0.92526125
2.22	0.226	-0.368	1	1	0.90779875
2.271	0.2055	-0.411	1	1	0.88793425
2.321	0.187	-0.4595	1	1	0.86617175
2.37	0.17	-0.504	1	1	0.842566
2.42	0.154	-0.5555	1	1	0.8160785
2.471	0.138	-0.61	1	1	0.78635825
2.521	0.123	-0.668	1	1	0.75440825
2.57	0.1085	-0.7215	1	1	0.7203655
2.621	0.0945	-0.7795	1	1	0.68209
2.671	0.0805	-0.8365	1	1	0.64169
2.72	0.067	-0.8925	1	1	0.5993295
2.771	0.053	-0.953	1	1	0.55226925
2.821	0.04	-1.0115	1	1	0.50315675
2.871	0.027	-1.0235	1	1	0.45228175
2.92	0.0145	-1.0235	1	1	0.40213025
2.972	0.001	-1.0235	1	1	0.348908249999999
3.02	-0.011	-1.0235	1	1	0.29978025
3.071	-0.025	-1.0235	1	1	0.24758175
3.122	-0.0395	-1.0235	1	1	0.19538325
3.171	-0.055	-1.0235	1	1	0.14523175
3.221	-0.0725	-1.0235	1	1	0.0940567499999998
3.27	-0.09	-1.0235	1	1	0.0439052500000003
3.321	-0.109	-1.0235	1	1	-0.00829324999999987
3.371	-0.129	-1.0235	1	1	-0.0594682499999997
3.421	-0.1505	-1.0235	1	1	-0.11064325
3.471	-0.1745	-1.0235	1	1	-0.16181825
3.52	-0.2	-1.0235	1	1	-0.21196975
3.571	-0.2285	-1.0235	1	1	-0.26416825
3.621	-0.2575	-1.0235	1	1	-0.31534325
3.67	-0.2885	-1.0235	1	1	-0.36549475
3.722	-0.3225	-0.8945	1	1	-0.415362750000001
3.771	-0.3575	-0.706	1	1	-0.454575
3.821	-0.393	-0.517	1	1	-0.48515
3.871	-0.424	-0.349	1	1	-0.5068
3.922	-0.447	-0.2035	1	1	-0.52088875
3.971	-0.46	-0.09	1	1	-0.5280795
4.021	-0.4635	0.002	1	1	-0.5302795
4.071	-0.4535	0.0485	1	1	-0.529017
4.122	-0.433	0.0825	1	1	-0.5256765
4.171	-0.41	0.1085	1	1	-0.520997
4.221	-0.3845	0.134	1	1	-0.5149345
4.271	-0.3585	0.1565	1	1	-0.507672
4.321	-0.333	0.1825	1	1	-0.499197
4.37	-0.308	0.207	1	1	-0.48965425
4.42	-0.284	0.241	1	1	-0.47845425
4.472	-0.2595	0.2745	1	1	-0.46505125
4.521	-0.2385	0.312	1	1	-0.450682
4.57	-0.218	0.353	1	1	-0.4343895
4.621	-0.199	0.4005	1	1	-0.415175250000001
4.67	-0.1815	0.445	1	1	-0.3944605
4.72	-0.165	0.4955	1	1	-0.370948
4.771	-0.149	0.5475	1	1	-0.3443515
4.82	-0.134	0.603	1	1	-0.31616425
4.871	-0.119	0.658	1	1	-0.284008750000001
4.921	-0.105	0.716	1	1	-0.24965875
4.97	-0.091	0.77	1	1	-0.21325175
5.02	-0.077	0.8325	1	1	-0.173189250000001
5.071	-0.0635	0.8885	1	1	-0.12930375
5.121	-0.05	0.95	1	1	-0.0833412500000006
5.171	-0.037	1.008	1	1	-0.0343912499999999
