DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	-0.0005	0	1	0
0.0590000000000002	0.006	0.1225	1	1	0.00359900000000001
0.11	0.0165	0.2125	1	1	0.0121415
0.16	0.029	0.2945	1	1	0.0248165
0.21	0.0425	0.3765	1	1	0.0415914999999999
0.26	0.057	0.455	1	1	0.062379
0.309	0.0715	0.534	1	1	0.0866095
0.359	0.0865	0.6145	1	1	0.115322
0.409	0.1015	0.6885	1	1	0.147897
0.459	0.1175	0.766	1	1	0.1842595
0.509	0.1355	0.838	1	1	0.2243595
0.56	0.154	0.904	1	1	0.2687805
0.609	0.1745	0.9635	1	1	0.31453425
0.66	0.198	1.02	1	1	0.3651135
0.71	0.2245	1.0235	1	1	0.416201
0.76	0.254	1.0235	1	1	0.467376
0.809	0.29	1.0235	1	1	0.5175275
0.86	0.3365	1.0235	1	1	0.569726
0.91	0.399	1.007	1	1	0.6204885
0.96	0.482	0.888	1	1	0.6678635
1.01	0.5685	0.757	1	1	0.7089885
1.059	0.6635	0.6195	1	1	0.74271275
1.11	0.762	0.4805	1	1	0.77076275
1.159	0.8525	0.37	1	1	0.7916
1.21	0.9175	0.154	1	1	0.804962
1.259	0.9395	0.019	1	1	0.8092005
1.31	0.9285	-0.0355	1	1	0.80877975
1.359	0.897	-0.0565	1	1	0.80652575
1.409	0.86	-0.0755	1	1	0.80322575
1.46	0.82	-0.0825	1	1	0.79919675
1.51	0.78	-0.0955	1	1	0.79474675
1.561	0.74	-0.1045	1	1	0.78964675
1.61	0.7015	-0.1215	1	1	0.78410975
1.659	0.6625	-0.1315	1	1	0.77791125
1.71	0.624	-0.15	1	1	0.770733
1.759	0.586	-0.163	1	1	0.7630645
1.809	0.548	-0.1845	1	1	0.754377
1.86	0.511	-0.2	1	1	0.74457225
1.91	0.474	-0.224	1	1	0.73397225
1.959	0.4375	-0.2445	1	1	0.722494
2.01	0.4025	-0.271	1	1	0.70934875
2.06	0.368	-0.295	1	1	0.69519875
2.109	0.335	-0.3255	1	1	0.6799965
2.16	0.3015	-0.3575	1	1	0.66258
2.21	0.2715	-0.4005	1	1	0.64363
2.259	0.2425	-0.439	1	1	0.62306225
2.31	0.215	-0.4915	1	1	0.5993345
2.359	0.1915	-0.544	1	1	0.57396475
2.409	0.17	-0.6075	1	1	0.545177250000001
2.459	0.1505	-0.678	1	1	0.513039750000001
2.51	0.1325	-0.7515	1	1	0.4765875
2.559	0.115	-0.822	1	1	0.43803675
2.61	0.0985	-0.9005	1	1	0.394113
2.659	0.0825	-0.976	1	1	0.348138750000001
2.709	0.067	-1.0235	1	1	0.298151250000001
2.76	0.051	-1.0235	1	1	0.245952750000001
2.81	0.036	-1.0235	1	1	0.19477775
2.859	0.021	-1.0235	1	1	0.14462625
2.91	0.0065	-1.0235	1	1	0.0924277500000001
2.96	-0.008	-1.0235	1	1	0.0412527500000003
3.009	-0.0235	-1.0235	1	1	-0.00889875000000011
3.059	-0.04	-1.0235	1	1	-0.0600737499999999
3.11	-0.0585	-1.0235	1	1	-0.11227225
3.16	-0.0785	-1.0235	1	1	-0.16344725
3.21	-0.0995	-1.0235	1	1	-0.21462225
3.26	-0.122	-1.0235	1	1	-0.26579725
3.309	-0.146	-1.0235	1	1	-0.31594875
3.36	-0.1735	-1.0235	1	1	-0.36814725
3.41	-0.204	-1.0235	1	1	-0.41932225
3.459	-0.241	-1.0235	1	1	-0.46947375
3.509	-0.288	-1.0235	1	1	-0.52064875
3.56	-0.3585	-1.0235	1	1	-0.57284725
3.61	-0.456	-1.0235	1	1	-0.62402225
3.659	-0.56	-0.783	1	1	-0.6682815
3.71	-0.6485	-0.4615	1	1	-0.70001625
