DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.048	0.001	0.045	1	1	0.00108
0.0979999999999999	0.0035	0.0805	1	1	0.00421749999999999
0.147	0.006	0.1125	1	1	0.00894600000000003
0.197	0.0095	0.1435	1	1	0.015346
0.248	0.0135	0.1735	1	1	0.0234295
0.298	0.018	0.204	1	1	0.032867
0.348	0.0225	0.231	1	1	0.043742
0.397	0.0275	0.259	1	1	0.055747
0.447	0.0325	0.285	1	1	0.069347
0.498	0.0385	0.312	1	1	0.0845705
0.548	0.044	0.3365	1	1	0.100783
0.598	0.0495	0.363	1	1	0.1182705
0.648	0.056	0.386	1	1	0.1369955
0.697	0.0625	0.4085	1	1	0.15646075
0.747	0.0695	0.43	1	1	0.17742325
0.798	0.0775	0.4505	1	1	0.199876
0.847	0.085	0.4715	1	1	0.222465
0.898	0.092	0.495	1	1	0.24711075
0.948	0.0995	0.5145	1	1	0.27234825
0.997	0.107	0.533	1	1	0.298012
1.048	0.116	0.552	1	1	0.3256795
1.098	0.125	0.569	1	1	0.3537045
1.148	0.1345	0.5815	1	1	0.382467
1.198	0.144	0.5285	1	1	0.410217
1.248	0.1525	0.466	1	1	0.4350795
1.298	0.1595	0.409	1	1	0.4569545
1.347	0.165	0.353	1	1	0.4756235
1.398	0.1705	0.299	1	1	0.4922495
1.448	0.175	0.2455	1	1	0.505862
1.498	0.178	0.197	1	1	0.5169245
1.547	0.181	0.1495	1	1	0.52541375
1.598	0.183	0.1035	1	1	0.53186525
1.648	0.1845	0.058	1	1	0.53590275
1.698	0.185	0.0185	1	1	0.53781525
1.748	0.1845	-0.0175	1	1	0.53784025
1.797	0.1795	-0.0425	1	1	0.53637025
1.848	0.1735	-0.0655	1	1	0.53361625
1.897	0.1665	-0.0855	1	1	0.52991675
1.948	0.1585	-0.1055	1	1	0.52504625
1.998	0.15	-0.1215	1	1	0.51937125
2.049	0.141	-0.1425	1	1	0.51263925
2.098	0.1325	-0.1575	1	1	0.50528925
2.148	0.1235	-0.177	1	1	0.49692675
2.198	0.115	-0.193	1	1	0.48767675
2.248	0.1065	-0.2125	1	1	0.47753925
2.298	0.0975	-0.2295	1	1	0.46648925
2.348	0.0895	-0.2485	1	1	0.45453925
2.398	0.0815	-0.266	1	1	0.44167675
2.449	0.073	-0.288	1	1	0.42754975
2.498	0.0655	-0.306	1	1	0.41299675
2.548	0.058	-0.3285	1	1	0.39713425
2.597	0.05	-0.3475	1	1	0.38057225
2.648	0.0425	-0.3705	1	1	0.36226325
2.698	0.035	-0.3895	1	1	0.34326325
2.748	0.028	-0.413	1	1	0.32320075
2.798	0.021	-0.433	1	1	0.30205075
2.848	0.014	-0.457	1	1	0.27980075
2.898	0.007	-0.478	1	1	0.25642575
2.948	0	-0.502	1	1	0.23192575
2.998	-0.0065	-0.5225	1	1	0.20631325
3.048	-0.013	-0.547	1	1	0.17957575
3.098	-0.0195	-0.568	1	1	0.15170075
3.148	-0.027	-0.5925	1	1	0.12268825
3.198	-0.034	-0.6125	1	1	0.0925632499999996
3.247	-0.041	-0.6335	1	1	0.0620362499999999
3.298	-0.049	-0.652	1	1	0.0292559999999998
3.348	-0.0575	-0.672	1	1	-0.00384400000000009
3.398	-0.066	-0.6875	1	1	-0.0378315
3.448	-0.075	-0.706	1	1	-0.0726690000000005
3.498	-0.0845	-0.719	1	1	-0.108294
3.548	-0.0935	-0.6585	1	1	-0.1427315
3.597	-0.1015	-0.5955	1	1	-0.1734545
3.647	-0.1095	-0.5355	1	1	-0.2017295
3.697	-0.1165	-0.474	1	1	-0.226967
3.748	-0.123	-0.4185	1	1	-0.24972575
3.799	-0.129	-0.3595	1	1	-0.26956475
3.849	-0.134	-0.308	1	1	-0.28625225
3.898	-0.1385	-0.2545	1	1	-0.3000335
3.948	-0.142	-0.208	1	1	-0.311596
3.998	-0.1445	-0.158	1	1	-0.320746
4.049	-0.147	-0.1135	1	1	-0.32766925
4.098	-0.1485	-0.0685	1	1	-0.33212825
4.148	-0.149	-0.029	1	1	-0.33456575
4.197	-0.149	0.0095	1	1	-0.3350435
4.248	-0.1455	0.0355	1	1	-0.333896
4.297	-0.14	0.0615	1	1	-0.3315195
4.347	-0.1335	0.0825	1	1	-0.3279195
4.398	-0.126	0.106	1	1	-0.32311275
4.448	-0.1185	0.124	1	1	-0.31736275
4.499	-0.11	0.145	1	1	-0.31050325
4.549	-0.102	0.1625	1	1	-0.30281575
4.598	-0.094	0.183	1	1	-0.294351
4.648	-0.0855	0.199	1	1	-0.284801
4.699	-0.0775	0.2195	1	1	-0.27412925
4.748	-0.0695	0.2365	1	1	-0.26295725
4.797	-0.0615	0.257	1	1	-0.2508665
4.848	-0.053	0.2755	1	1	-0.23728775
4.897	-0.0455	0.298	1	1	-0.223237
4.948	-0.0375	0.3165	1	1	-0.20756725
4.998	-0.0305	0.3405	1	1	-0.19114225
5.048	-0.023	0.3595	1	1	-0.17364225
5.097	-0.0155	0.382	1	1	-0.1554755
5.148	-0.0085	0.4035	1	1	-0.135445250000001
5.197	-0.0015	0.427	1	1	-0.115098
5.248	0.005	0.448	1	1	-0.0927855000000003
5.298	0.012	0.4735	1	1	-0.0697480000000004
5.349	0.0185	0.4955	1	1	-0.0450385000000007
5.398	0.0255	0.52	1	1	-0.0201587500000001
5.447	0.032	0.5405	1	1	0.00582349999999964
5.498	0.039	0.5655	1	1	0.0340264999999997
5.548	0.046	0.585	1	1	0.0627890000000001
5.597	0.053	0.609	1	1	0.0920419999999998
5.647	0.0605	0.628	1	1	0.122966999999999
5.698	0.0685	0.651	1	1	0.155581499999999
5.748	0.0765	0.6675	1	1	0.188544
5.798	0.085	0.687	1	1	0.2224065
5.848	0.094	0.6925	1	1	0.256894
5.898	0.103	0.6295	1	1	0.289944
5.948	0.112	0.564	1	1	0.319781499999999
5.998	0.12	0.5035	1	1	0.346469
6.048	0.127	0.4415	1	1	0.370094
6.097	0.134	0.387	1	1	0.39039225
6.148	0.14	0.3275	1	1	0.408612
6.198	0.145	0.276	1	1	0.4236995
6.248	0.149	0.2225	1	1	0.436162
6.298	0.1525	0.175	1	1	0.4460995
6.348	0.155	0.1255	1	1	0.453612
6.398	0.157	0.083	1	1	0.4588245
6.448	0.158	0.038	1	1	0.4618495
6.498	0.1585	0	1	1	0.4627995
6.548	0.156	-0.031	1	1	0.4620245
6.598	0.1505	-0.0545	1	1	0.459887
6.647	0.144	-0.0775	1	1	0.456653
6.698	0.1365	-0.097	1	1	0.45220325
6.749	0.1285	-0.119	1	1	0.44669525
6.798	0.1205	-0.136	1	1	0.44044775
6.848	0.1125	-0.156	1	1	0.43314775
6.897	0.104	-0.173	1	1	0.42508725
6.947	0.096	-0.1925	1	1	0.41594975
6.997	0.0875	-0.2095	1	1	0.40589975
7.048	0.079	-0.2295	1	1	0.394705249999999
7.097	0.071	-0.2465	1	1	0.38304325
7.148	0.063	-0.2685	1	1	0.36991075
7.198	0.055	-0.2875	1	1	0.35601075
7.248	0.0475	-0.31	1	1	0.34107325
7.298	0.04	-0.3295	1	1	0.325085749999999
7.347	0.0325	-0.3525	1	1	0.30837675
7.398	0.025	-0.3725	1	1	0.28988925
7.448	0.018	-0.3965	1	1	0.27066425
7.498	0.011	-0.417	1	1	0.25032675
7.548	0.004	-0.4415	1	1	0.228864249999999
7.598	-0.002	-0.463	1	1	0.20625175
7.647	-0.0085	-0.487	1	1	0.18297675
7.698	-0.015	-0.509	1	1	0.15757875
7.749	-0.022	-0.534	1	1	0.13098225
7.798	-0.0285	-0.5555	1	1	0.104289499999999
7.849	-0.0355	-0.579	1	1	0.0753597500000001
7.898	-0.0425	-0.6005	1	1	0.0464619999999994
7.948	-0.05	-0.6215	1	1	0.015912
7.998	-0.058	-0.6395	1	1	-0.0156130000000004
8.048	-0.066	-0.6595	1	1	-0.0480880000000014
8.098	-0.0745	-0.675	1	1	-0.0814504999999995
8.149	-0.084	-0.6925	1	1	-0.116321750000001
8.198	-0.093	-0.6885	1	1	-0.150156250000001
8.249	-0.1025	-0.6215	1	1	-0.183561249999999
8.298	-0.111	-0.5605	1	1	-0.212520250000001
8.347	-0.1185	-0.502	1	1	-0.238551500000001
8.398	-0.126	-0.4395	1	1	-0.26255975
8.448	-0.1325	-0.3835	1	1	-0.28313475
8.497	-0.1385	-0.3275	1	1	-0.30055425
8.548	-0.1435	-0.275	1	1	-0.315918000000001
8.597	-0.147	-0.2235	1	1	-0.328131250000001
8.648	-0.1505	-0.176	1	1	-0.3383185
8.698	-0.153	-0.128	1	1	-0.345918500000001
8.747	-0.1545	-0.0865	1	1	-0.35117375
8.797	-0.1555	-0.0405	1	1	-0.35434875
8.848	-0.156	-0.002	1	1	-0.3554325
8.898	-0.1535	0.029	1	1	-0.3547575
8.947	-0.1485	0.0515	1	1	-0.35278525
8.998	-0.142	0.0765	1	1	-0.34952125
9.048	-0.135	0.096	1	1	-0.34520875
9.098	-0.127	0.118	1	1	-0.339858750000001
9.148	-0.1195	0.136	1	1	-0.333508750000001
9.198	-0.111	0.1555	1	1	-0.32622125
9.248	-0.103	0.173	1	1	-0.31800875
9.298	-0.0945	0.1925	1	1	-0.30887125
9.348	-0.086	0.2095	1	1	-0.298821250000001
9.397	-0.078	0.229	1	1	-0.288078000000001
9.447	-0.0695	0.246	1	1	-0.276203000000001
9.498	-0.0615	0.2675	1	1	-0.26310875
9.548	-0.0535	0.2865	1	1	-0.24925875
9.598	-0.0455	0.3075	1	1	-0.234408750000001
9.648	-0.038	0.327	1	1	-0.218546250000001
9.698	-0.0305	0.35	1	1	-0.20162125
9.748	-0.023	0.37	1	1	-0.18362125
9.798	-0.0155	0.393	1	1	-0.16454625
9.848	-0.0085	0.4145	1	1	-0.144358750000001
9.898	-0.0015	0.4375	1	1	-0.123058750000001
9.949	0.005	0.4605	1	1	-0.10015975
10	0.012	0.484	1	1	-0.0760750000000006
10.048	0.0185	0.5055	1	1	-0.0523269999999997
10.097	0.025	0.53	1	1	-0.0269572499999999
10.148	0.032	0.552	1	1	0.00063374999999918
10.197	0.039	0.575	1	1	0.0282452499999989
10.248	0.046	0.5965	1	1	0.0581185
10.297	0.053	0.619	1	1	0.0878982499999997
10.348	0.0605	0.638	1	1	0.119951749999999
10.398	0.0685	0.659	1	1	0.152376749999999
10.448	0.0765	0.6775	1	1	0.18578925
10.497	0.0855	0.695	1	1	0.219415499999999
10.548	0.0945	0.683	1	1	0.254554500000001
10.598	0.1035	0.619	1	1	0.287104499999999
10.648	0.112	0.556	1	1	0.316479499999999
10.697	0.1195	0.496	1	1	0.342253499999999
10.748	0.127	0.4345	1	1	0.36598125
10.798	0.1335	0.377	1	1	0.38626875
10.848	0.1395	0.3195	1	1	0.403681249999999
10.898	0.144	0.268	1	1	0.418368749999999
10.948	0.148	0.2165	1	1	0.43048125
10.998	0.1515	0.1675	1	1	0.44008125
11.047	0.154	0.1205	1	1	0.44713725
11.098	0.1555	0.076	1	1	0.452147999999999
11.147	0.1565	0.0335	1	1	0.454830749999999
11.197	0.157	-0.004	1	1	0.455568249999999
11.247	0.154	-0.034	1	1	0.454618249999999
11.298	0.148	-0.0585	1	1	0.452259499999999
11.348	0.1415	-0.081	1	1	0.448772
11.398	0.134	-0.101	1	1	0.444221999999999
11.449	0.126	-0.1215	1	1	0.438548249999999
11.498	0.118	-0.14	1	1	0.432141499999999
11.548	0.11	-0.159	1	1	0.424666499999999
11.598	0.1015	-0.177	1	1	0.4162665
11.648	0.093	-0.196	1	1	0.4069415
11.699	0.0845	-0.215	1	1	0.396460999999999
11.748	0.0765	-0.2325	1	1	0.385497249999999
11.799	0.0685	-0.2525	1	1	0.37312975
11.848	0.0605	-0.2715	1	1	0.36029175
11.899	0.0525	-0.293	1	1	0.345896999999999
11.948	0.045	-0.3125	1	1	0.331062249999999
11.999	0.0375	-0.335	1	1	0.314551
12.048	0.03	-0.356	1	1	0.297621499999999
12.098	0.023	-0.377	1	1	0.2792965
12.148	0.016	-0.3995	1	1	0.259884
12.198	0.009	-0.422	1	1	0.239346499999999
12.249	0.002	-0.445	1	1	0.217238
12.298	-0.004	-0.4675	1	1	0.194881749999999
12.347	-0.0105	-0.491	1	1	0.171398499999999
12.398	-0.0175	-0.514	1	1	0.145771
12.448	-0.024	-0.5375	1	1	0.119483499999999
12.498	-0.031	-0.56	1	1	0.0920459999999989
12.547	-0.0375	-0.5825	1	1	0.0640547499999992
12.598	-0.045	-0.6035	1	1	0.0338117500000002
12.647	-0.052	-0.6245	1	1	0.00372575000000049
12.698	-0.06	-0.644	1	1	-0.0286210000000007
12.748	-0.0685	-0.6625	1	1	-0.0612835000000012
12.798	-0.077	-0.679	1	1	-0.0948210000000017
