DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.002	0	0	1	0
0.08	0.011	0.141	1	1	0.00564
0.13	0.0205	0.2125	1	1	0.0144775
0.179	0.0305	0.283	1	1	0.02661725
0.23	0.041	0.351	1	1	0.04278425
0.28	0.0525	0.4195	1	1	0.06204675
0.33	0.0645	0.4815	1	1	0.08457175
0.38	0.078	0.5415	1	1	0.11014675
0.429	0.0925	0.599	1	1	0.138089
0.48	0.1085	0.652	1	1	0.1699895
0.529	0.125	0.701	1	1	0.203138
0.58	0.144	0.747	1	1	0.240062
0.63	0.164	0.79	1	1	0.278487
0.679	0.185	0.825	1	1	0.3180545
0.729	0.208	0.8605	1	1	0.360192
0.779	0.233	0.889	1	1	0.4039295
0.83	0.2595	0.9125	1	1	0.44986775
0.88	0.288	0.9315	1	1	0.49596775
0.93	0.3185	0.9445	1	1	0.54286775
0.98	0.3515	0.95	1	1	0.59023025
1.029	0.3865	0.9515	1	1	0.636817
1.08	0.4235	0.9455	1	1	0.6851905
1.13	0.463	0.9345	1	1	0.7321905
1.18	0.501	0.842	1	1	0.776603
1.23	0.528	0.685	1	1	0.814778
1.279	0.5475	0.545	1	1	0.844913
1.329	0.5605	0.4185	1	1	0.8690005
1.38	0.5685	0.303	1	1	0.88739875
1.43	0.571	0.2065	1	1	0.90013625
1.479	0.5685	0.122	1	1	0.9081845
1.529	0.562	0.0495	1	1	0.912472
1.58	0.55	-0.012	1	1	0.91342825
1.63	0.5325	-0.054	1	1	0.91177825
1.68	0.5105	-0.087	1	1	0.90825325
1.729	0.486	-0.115	1	1	0.90330425
1.78	0.4595	-0.1415	1	1	0.8967635
1.829	0.433	-0.1645	1	1	0.8892665
1.88	0.406	-0.1905	1	1	0.880214
1.929	0.3785	-0.2155	1	1	0.870267
1.98	0.3515	-0.242	1	1	0.85860075
2.029	0.326	-0.2675	1	1	0.846118
2.08	0.2995	-0.298	1	1	0.83169775
2.13	0.274	-0.326	1	1	0.81609775
2.18	0.2485	-0.357	1	1	0.79902275
2.229	0.2245	-0.386	1	1	0.78081925
2.279	0.2	-0.419	1	1	0.76069425
2.33	0.1755	-0.4495	1	1	0.7385475
2.38	0.1515	-0.4845	1	1	0.7151975
2.43	0.1285	-0.519	1	1	0.69011
2.479	0.1065	-0.558	1	1	0.6637235
2.529	0.0845	-0.5985	1	1	0.634811
2.579	0.064	-0.6415	1	1	0.603811
2.629	0.044	-0.687	1	1	0.5705985
2.68	0.024	-0.732	1	1	0.534414
2.73	0.0045	-0.774	1	1	0.496764
2.78	-0.015	-0.818	1	1	0.456964
2.83	-0.0355	-0.859	1	1	0.415039
2.88	-0.056	-0.9005	1	1	0.3710515
2.93	-0.078	-0.937	1	1	0.325114
2.98	-0.1005	-0.972	1	1	0.277389
3.031	-0.125	-1.003	1	1	0.2270265
3.079	-0.1495	-1.0235	1	1	0.1783905
