DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	0	0	1	0
0.048	0.002	-0.0005	1	1	-1.2E-05
0.098	0.004	0.0205	1	1	0.000488
0.148	0.009	0.0225	1	1	0.001563
0.198	0.0135	0.0265	1	1	0.002788
0.249	0.018	0.0295	1	1	0.004216
0.298	0.0225	0.033	1	1	0.00574725
0.348	0.0275	0.035	1	1	0.00744725
0.399	0.032	0.0385	1	1	0.0093215
0.448	0.037	0.041	1	1	0.01126925
0.499	0.0415	0.0435	1	1	0.013424
0.548	0.0465	0.046	1	1	0.01561675
0.599	0.051	0.0485	1	1	0.0180265
0.649	0.056	0.051	1	1	0.020514
0.698	0.061	0.054	1	1	0.0230865
0.749	0.0655	0.0565	1	1	0.02590425
0.798	0.07	0.06	1	1	0.0287585
0.849	0.075	0.063	1	1	0.031895
0.898	0.079	0.069	1	1	0.035129
0.948	0.0825	0.074	1	1	0.038704
0.998	0.086	0.0815	1	1	0.0425915
1.049	0.089	0.088	1	1	0.04691375
1.098	0.0925	0.0955	1	1	0.0514095
1.149	0.0955	0.101	1	1	0.05642025
1.198	0.097	0.0845	1	1	0.060965
1.248	0.098	0.0665	1	1	0.06474
1.299	0.098	0.0515	1	1	0.067749
1.348	0.098	0.036	1	1	0.06989275
1.398	0.0975	0.0235	1	1	0.07138025
1.448	0.0965	0.0095	1	1	0.07220525
1.499	0.0955	0	1	1	0.0724475
1.548	0.093	-0.009	1	1	0.072227
1.598	0.09	-0.0145	1	1	0.0716395
1.649	0.0865	-0.0205	1	1	0.070747
1.699	0.0825	-0.0235	1	1	0.069647
1.748	0.0785	-0.029	1	1	0.06836075
1.799	0.074	-0.031	1	1	0.06683075
1.848	0.0695	-0.0355	1	1	0.0652015
1.897	0.065	-0.0375	1	1	0.063413
1.956	0.0595	-0.0415	1	1	0.0610825
1.998	0.0555	-0.043	1	1	0.059308
2.048	0.0505	-0.0475	1	1	0.0570455
2.097	0.046	-0.0485	1	1	0.0546935
2.148	0.041	-0.0525	1	1	0.052118
2.198	0.036	-0.053	1	1	0.0494805
2.248	0.0315	-0.0565	1	1	0.046743
2.298	0.0265	-0.058	1	1	0.0438805
2.348	0.0215	-0.061	1	1	0.0409055
2.399	0.0165	-0.062	1	1	0.037769
2.448	0.012	-0.066	1	1	0.034633
2.499	0.007	-0.067	1	1	0.0312415
2.548	0.002	-0.071	1	1	0.0278605
2.599	-0.002	-0.072	1	1	0.024214
2.648	-0.007	-0.0765	1	1	0.02057575
2.698	-0.0115	-0.078	1	1	0.01671325
2.749	-0.016	-0.082	1	1	0.01263325
2.798	-0.021	-0.0835	1	1	0.0085785
2.848	-0.0255	-0.0875	1	1	0.00430350000000001
2.898	-0.0305	-0.0895	1	1	-0.000121499999999969
2.948	-0.035	-0.0935	1	1	-0.00469649999999999
2.998	-0.0395	-0.0945	1	1	-0.00939649999999998
3.049	-0.0445	-0.099	1	1	-0.01433075
3.099	-0.049	-0.1005	1	1	-0.01931825
3.148	-0.0535	-0.105	1	1	-0.024353
3.198	-0.058	-0.107	1	1	-0.029653
3.248	-0.063	-0.111	1	1	-0.035103
3.298	-0.0675	-0.113	1	1	-0.040703
3.348	-0.072	-0.1175	1	1	-0.0464655
3.398	-0.0765	-0.119	1	1	-0.052378
3.448	-0.081	-0.124	1	1	-0.058453
3.498	-0.0855	-0.1215	1	1	-0.0645905
3.548	-0.0885	-0.101	1	1	-0.070153
3.598	-0.091	-0.079	1	1	-0.074653
3.648	-0.0925	-0.0615	1	1	-0.0781655
3.699	-0.0935	-0.043	1	1	-0.08083025
3.748	-0.094	-0.0285	1	1	-0.082582
3.799	-0.0935	-0.013	1	1	-0.08364025
3.848	-0.093	-0.0025	1	1	-0.08402
3.899	-0.091	0.0075	1	1	-0.0838925
3.948	-0.088	0.013	1	1	-0.08339025
3.998	-0.0845	0.019	1	1	-0.08259025
4.048	-0.0805	0.022	1	1	-0.08156525
4.098	-0.0765	0.027	1	1	-0.08034025
4.149	-0.072	0.0295	1	1	-0.0788995
4.198	-0.0675	0.0335	1	1	-0.077356
4.249	-0.063	0.0355	1	1	-0.0755965
4.298	-0.0585	0.039	1	1	-0.07377125
4.348	-0.0535	0.0415	1	1	-0.07175875
4.398	-0.049	0.045	1	1	-0.06959625
4.449	-0.044	0.047	1	1	-0.06725025
4.498	-0.0395	0.0495	1	1	-0.064886
4.548	-0.0345	0.053	1	1	-0.0623235
4.599	-0.03	0.0555	1	1	-0.05955675
4.648	-0.025	0.0575	1	1	-0.05678825
4.698	-0.02	0.06	1	1	-0.05385075
