DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0015	0	0	1	0
0.0759999999999998	0.008	0.126	1	1	0.00478799999999999
0.127	0.019	0.19	1	1	0.012846
0.177	0.031	0.2485	1	1	0.0238085
0.228	0.0435	0.309	1	1	0.03802475
0.277	0.0555	0.363	1	1	0.05448875
0.327	0.069	0.424	1	1	0.0741637499999999
0.378	0.082	0.4785	1	1	0.0971775
0.427	0.095	0.5355	1	1	0.1220205
0.478	0.109	0.589	1	1	0.15069525
0.528	0.1235	0.6415	1	1	0.18145775
0.577	0.139	0.6885	1	1	0.21404275
0.626	0.1555	0.736	1	1	0.248943
0.677	0.1735	0.7745	1	1	0.28746075
0.727	0.1935	0.814	1	1	0.32717325
0.777	0.2155	0.8435	1	1	0.36861075
0.827	0.24	0.8685	1	1	0.41141075
0.877	0.265	0.8925	1	1	0.45543575
0.928	0.2935	0.9035	1	1	0.50123375
0.977	0.326	0.8925	1	1	0.54523575
1.027	0.3715	0.849	1	1	0.58877325
1.078	0.429	0.77	1	1	0.63005775
1.127	0.496	0.67	1	1	0.66533775
1.177	0.5685	0.4985	1	1	0.69455025
1.228	0.6245	0.2855	1	1	0.71454225
1.277	0.657	0.1355	1	1	0.72485675
1.327	0.671	0.0255	1	1	0.72888175
1.378	0.6655	-0.028	1	1	0.728818
1.427	0.6455	-0.054	1	1	0.726809
1.477	0.6195	-0.071	1	1	0.723684
1.527	0.5905	-0.085	1	1	0.719784
1.577	0.561	-0.0965	1	1	0.7152465
1.627	0.532	-0.108	1	1	0.710134
1.677	0.503	-0.121	1	1	0.704409
1.727	0.4735	-0.1355	1	1	0.6979965
1.777	0.4445	-0.1495	1	1	0.6908715
1.827	0.4165	-0.165	1	1	0.683009
1.877	0.3885	-0.1835	1	1	0.6742965
1.926	0.3615	-0.202	1	1	0.66485175
1.977	0.3345	-0.2235	1	1	0.6540015
2.027	0.3085	-0.2475	1	1	0.6422265
2.077	0.284	-0.2745	1	1	0.6291765
2.127	0.2595	-0.3025	1	1	0.6147515
2.177	0.236	-0.333	1	1	0.598864
2.228	0.214	-0.369	1	1	0.580963
