DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V	"Relay" R_1	"Voltage source" S_1	"Magnetic flux" &F / Vs
0	0.0005	-0.0005	0	1	0
0.051	0.002	0	1	1	-1.275E-05
0.101	0.0015	0.0325	1	1	0.000799750000000001
0.15	0.004	0.045	1	1	0.0026985
0.2	0.0065	0.053	1	1	0.0051485
0.251	0.009	0.0645	1	1	0.00814475
0.301	0.012	0.0715	1	1	0.01154475
0.351	0.0145	0.0825	1	1	0.01539475
0.401	0.0175	0.0885	1	1	0.01966975
0.451	0.021	0.0985	1	1	0.02434475
0.5	0.024	0.105	1	1	0.0293305
0.55	0.0275	0.1145	1	1	0.034818
0.601	0.0305	0.12	1	1	0.04079775
0.65	0.034	0.1295	1	1	0.0469105
0.7	0.0365	0.1395	1	1	0.0536355
0.751	0.0405	0.1465	1	1	0.0609285
0.8	0.0435	0.151	1	1	0.06821725
0.85	0.047	0.1615	1	1	0.07602975
0.901	0.0505	0.168	1	1	0.084432
0.952	0.0535	0.1775	1	1	0.09324225
1.001	0.0565	0.1845	1	1	0.10211125
1.05	0.06	0.1945	1	1	0.11139675
1.1	0.063	0.201	1	1	0.12128425
1.151	0.066	0.2065	1	1	0.1316755
1.201	0.069	0.181	1	1	0.141363
1.251	0.0715	0.16	1	1	0.149888
1.301	0.0735	0.1355	1	1	0.1572755
1.351	0.075	0.1165	1	1	0.1635755
1.402	0.077	0.0945	1	1	0.168956
1.451	0.078	0.0765	1	1	0.1731455
1.5	0.0785	0.0565	1	1	0.176404
1.55	0.0795	0.0405	1	1	0.178829
1.601	0.08	0.021	1	1	0.18039725
1.651	0.08	0.006	1	1	0.18107225
1.701	0.0795	-0.0095	1	1	0.18098475
1.751	0.078	-0.0175	1	1	0.18030975
1.801	0.075	-0.0285	1	1	0.17915975
1.851	0.072	-0.0345	1	1	0.17758475
1.901	0.069	-0.0445	1	1	0.17560975
1.951	0.0655	-0.0495	1	1	0.17325975
2	0.062	-0.057	1	1	0.1706505
2.051	0.058	-0.063	1	1	0.1675905
2.1	0.054	-0.07	1	1	0.164332
2.151	0.05	-0.075	1	1	0.1606345
2.201	0.046	-0.0825	1	1	0.156697
2.251	0.042	-0.0865	1	1	0.152472
2.301	0.038	-0.094	1	1	0.1479595
2.352	0.034	-0.0975	1	1	0.14307625
2.401	0.03	-0.105	1	1	0.138115
2.451	0.026	-0.1095	1	1	0.1327525
2.501	0.022	-0.1165	1	1	0.1271025
2.551	0.018	-0.121	1	1	0.121165
2.6	0.014	-0.1275	1	1	0.11507675
2.65	0.01	-0.133	1	1	0.10856425
2.701	0.006	-0.1405	1	1	0.10159
2.751	0.002	-0.1445	1	1	0.094465
2.8	-0.001	-0.1525	1	1	0.0871885
2.851	-0.005	-0.157	1	1	0.07929625
2.901	-0.009	-0.165	1	1	0.07124625
2.951	-0.0125	-0.1605	1	1	0.0631087499999999
3	-0.0165	-0.176	1	1	0.0548644999999999
3.05	-0.0205	-0.1815	1	1	0.0459269999999999
3.101	-0.0245	-0.189	1	1	0.03647925
3.15	-0.0285	-0.194	1	1	0.02709575
3.201	-0.0325	-0.2015	1	1	0.0170104999999999
3.251	-0.036	-0.206	1	1	0.00682299999999996
3.301	-0.0395	-0.2145	1	1	-0.0036895
3.35	-0.043	-0.2205	1	1	-0.0143470000000001
3.4	-0.0465	-0.229	1	1	-0.0255845
3.45	-0.0495	-0.2365	1	1	-0.037222
3.501	-0.053	-0.2375	1	1	-0.049309
3.55	-0.0555	-0.212	1	1	-0.0603217500000001
3.601	-0.058	-0.1915	1	1	-0.070611
3.651	-0.06	-0.168	1	1	-0.0795985000000001
3.7	-0.062	-0.1475	1	1	-0.08732825
3.751	-0.0635	-0.126	1	1	-0.0943025
3.801	-0.065	-0.1075	1	1	-0.10014
3.851	-0.066	-0.087	1	1	-0.1050025
3.903	-0.067	-0.069	1	1	-0.1090585
3.951	-0.0675	-0.05	1	1	-0.1119145
4	-0.068	-0.033	1	1	-0.113948
4.05	-0.0685	-0.0165	1	1	-0.1151855
4.1	-0.0685	-0.0005	1	1	-0.1156105
4.15	-0.0675	0.0125	1	1	-0.1153105
4.201	-0.0655	0.0205	1	1	-0.114469
4.25	-0.063	0.03	1	1	-0.11323175
4.3	-0.06	0.038	1	1	-0.11153175
4.351	-0.0565	0.0465	1	1	-0.109377
4.4	-0.053	0.0525	1	1	-0.1069515
4.45	-0.0495	0.059	1	1	-0.104164
4.5	-0.046	0.066	1	1	-0.101039
4.55	-0.042	0.072	1	1	-0.097589
4.601	-0.038	0.077	1	1	-0.0937895000000001
4.651	-0.034	0.084	1	1	-0.0897645
4.701	-0.03	0.0885	1	1	-0.085452
4.752	-0.0255	0.0955	1	1	-0.08076
4.801	-0.0215	0.099	1	1	-0.0759947500000001
4.852	-0.0175	0.1065	1	1	-0.0707545
4.901	-0.0135	0.11	1	1	-0.06545025
4.951	-0.0095	0.1175	1	1	-0.05976275
5.001	-0.0055	0.1215	1	1	-0.05378775
5.05	-0.001	0.128	1	1	-0.047675
5.101	0.0025	0.133	1	1	-0.0410195000000001
5.151	0.0065	0.14	1	1	-0.0341945
5.2	0.0105	0.1455	1	1	-0.0271997500000001
5.251	0.0145	0.1515	1	1	-0.01962625
5.301	0.018	0.1565	1	1	-0.0119262500000001
5.351	0.022	0.163	1	1	-0.0039387500000001
5.401	0.026	0.169	1	1	0.00436125000000002
5.451	0.03	0.1755	1	1	0.01297375
5.501	0.0335	0.181	1	1	0.02188625
5.55	0.0375	0.188	1	1	0.03092675
5.6	0.0415	0.195	1	1	0.04050175
5.651	0.045	0.201	1	1	0.05059975
5.7	0.0485	0.2085	1	1	0.0606324999999999
5.75	0.0525	0.2135	1	1	0.0711824999999999
5.8	0.0565	0.2205	1	1	0.0820325
5.851	0.06	0.2155	1	1	0.0931504999999999
5.901	0.0635	0.189	1	1	0.103263
5.951	0.0665	0.167	1	1	0.112163
6	0.0685	0.1445	1	1	0.11979475
6.051	0.071	0.1225	1	1	0.12660325
6.1	0.0725	0.1025	1	1	0.13211575
